,missing,missing_pct
Unnamed: 109,6834001,1.0
Div5Airport,6834001,1.0
Div4Airport,6834001,1.0
Div4AirportID,6834001,1.0
Div4AirportSeqID,6834001,1.0
Div4WheelsOn,6834001,1.0
Div4TotalGTime,6834001,1.0
Div4LongestGTime,6834001,1.0
Div4WheelsOff,6834001,1.0
Div4TailNum,6834001,1.0
Div5AirportID,6834001,1.0
Div5AirportSeqID,6834001,1.0
Div5WheelsOn,6834001,1.0
Div5TotalGTime,6834001,1.0
Div5LongestGTime,6834001,1.0
Div5WheelsOff,6834001,1.0
Div5TailNum,6834001,1.0
Div3TailNum,6834000,1.0
Div3WheelsOff,6834000,1.0
Div3Airport,6833999,1.0
Div3WheelsOn,6833999,1.0
Div3AirportID,6833999,1.0
Div3AirportSeqID,6833999,1.0
Div3LongestGTime,6833999,1.0
Div3TotalGTime,6833999,1.0
