,count,mean,std,min,25%,50%,75%,max
Year,6834001.0,2024.3262295396212,0.4688324426305998,2024.0,2024.0,2024.0,2025.0,2025.0
CRSArrTime,6834001.0,1495.3667440200843,515.4009071150281,1.0,1107.0,1520.0,1925.0,2359.0
Diverted,6834001.0,0.002056481993491075,0.045301801019406604,0.0,0.0,0.0,0.0,1.0
Flights,6834001.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Distance,6834001.0,836.0076109148945,594.6992365831294,18.0,399.0,689.0,1072.0,5095.0
Quarter,6834001.0,2.1231817203421537,1.2634187371544037,1.0,1.0,2.0,4.0,4.0
DistanceGroup,6834001.0,3.8175917738379024,2.3274644381587573,1.0,2.0,3.0,5.0,11.0
DivAirportLandings,6834001.0,0.003066432094464136,0.10470895589534109,0.0,0.0,0.0,0.0,9.0
CRSDepTime,6834001.0,1323.9481052168414,490.03794407991506,1.0,905.0,1318.0,1734.0,2400.0
DestWac,6834001.0,54.88124862726827,26.571924983871785,1.0,34.0,45.0,82.0,93.0
DestStateFips,6834001.0,26.754369951072587,16.75766981396786,1.0,12.0,26.0,42.0,78.0
DestCityMarketID,6834001.0,31740.46176946711,1321.728573969101,30070.0,30647.0,31453.0,32467.0,35991.0
DestAirportSeqID,6834001.0,1266108.6540266823,153150.77319949048,1013506.0,1129202.0,1288904.0,1405702.0,1686902.0
DestAirportID,6834001.0,12661.046983897135,1531.5095685620186,10135.0,11292.0,12889.0,14057.0,16869.0
OriginWac,6834001.0,54.88190827013341,26.571975877128416,1.0,34.0,45.0,82.0,93.0
OriginStateFips,6834001.0,26.75389980188765,16.757611497826083,1.0,12.0,26.0,42.0,78.0
OriginCityMarketID,6834001.0,31740.43113675283,1321.7297908171806,30070.0,30647.0,31453.0,32467.0,35991.0
OriginAirportSeqID,6834001.0,1266106.152596261,153151.74129299744,1013506.0,1129202.0,1288904.0,1405702.0,1686902.0
OriginAirportID,6834001.0,12661.02196853644,1531.5192495738206,10135.0,11292.0,12889.0,14057.0,16869.0
Flight_Number_Reporting_Airline,6834001.0,2493.6444217669855,1651.8773675139469,1.0,1145.0,2217.0,3686.0,8819.0
DOT_ID_Reporting_Airline,6834001.0,19950.96666125744,371.1237545661531,19393.0,19790.0,19930.0,20363.0,20452.0
DayOfWeek,6834001.0,3.9799821510122695,2.0191248143282126,1.0,2.0,4.0,6.0,7.0
DayofMonth,6834001.0,15.686942246569762,8.731740860652623,1.0,8.0,16.0,23.0,31.0
Month,6834001.0,5.295970691253923,3.9441088036291507,1.0,2.0,4.0,10.0,12.0
