FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-01,MCI,DFW,AA,0,0.4327950245573903
2025-04-07,FLL,ATL,DL,1,0.4384452731879658
2025-04-17,BNA,DEN,UA,0,0.3813978740427476
2025-04-11,PHX,LAS,WN,1,0.7826425916647339
2025-04-18,CHS,JFK,B6,1,0.11386133452332037
2025-04-10,TPA,BOS,B6,0,0.3620432438883694
2025-04-05,PNS,DCA,OH,0,0.5390436768633349
2025-04-28,SAT,PHX,WN,0,0.26730492137130635
2025-04-30,MEM,DEN,UA,0,0.0
2025-04-16,ATL,PNS,DL,0,0.273216970391189
2025-04-19,PHL,SJU,AA,0,0.8360335452141813
2025-04-13,MCO,MSY,F9,1,0.2124155101485074
2025-04-30,SDF,BWI,WN,1,0.0
2025-04-20,CHS,CLT,AA,0,0.1805898414865496
2025-04-29,DFW,AUS,AA,0,0.7302663010803391
2025-04-03,SEA,SMF,OO,0,0.7687912591351923
2025-04-16,BWI,PWM,WN,1,0.0
2025-04-19,SJC,AUS,WN,0,0.0
2025-04-13,PHL,PVD,AA,0,0.8360335452141813
2025-04-29,DEN,MKE,OO,0,0.47589290383308047
2025-04-19,ORD,EWR,AA,0,0.4013197522858633
2025-04-30,ATL,HSV,DL,0,0.273216970391189
2025-04-23,ABQ,DEN,WN,0,0.18131104591798597
2025-04-30,DFW,LIT,MQ,1,0.4424012045182939
2025-04-10,HNL,SFO,HA,0,0.5157259435566134
2025-04-19,DEN,EWR,UA,0,0.5877641967933082
2025-04-19,MCO,IND,WN,1,0.0
2025-04-30,MSP,DEN,DL,1,0.24055244724437172
2025-04-03,EWR,CLT,UA,0,0.06874670685484091
2025-04-05,RIC,ATL,DL,0,0.15077430303259795
2025-04-01,PDX,LAS,WN,0,0.03300882484158445
2025-04-25,RSW,CLT,AA,1,0.3743349085022828
2025-04-10,LAS,HOU,WN,1,0.6707488494183124
2025-04-30,BWI,MYR,WN,0,0.6968550401004634
2025-04-10,OKC,DCA,WN,0,0.7531069004704487
2025-04-07,SMF,SAN,WN,0,0.4307419240326587
2025-04-22,ORD,MSP,UA,0,0.17220869166431083
2025-04-14,ATL,LAX,DL,0,0.6059507371044366
2025-04-10,MCO,BOS,B6,0,0.5895575611288199
2025-04-25,SLC,LAS,DL,0,0.769018920974395
2025-04-26,DAL,SAN,WN,0,0.653073328464749
2025-04-20,PHX,MCI,WN,0,0.424981820850317
2025-04-07,PHX,ABQ,OO,0,0.0
2025-04-14,BOS,JFK,YX,0,0.24055244724437172
2025-04-02,SAV,CLT,OH,0,0.11386133452332037
2025-04-30,FLL,EWR,NK,1,0.5624458805436887
2025-04-10,PHX,DEN,WN,0,0.739415162865523
2025-04-16,MFE,DFW,AA,0,0.5926911519329137
2025-04-21,DEN,ANC,UA,1,0.4620548342641619
2025-04-14,JFK,TPA,B6,0,0.25468971142082636
2025-04-19,LIH,SJC,AS,1,0.6083300124693087
2025-04-10,MKE,LGA,YX,0,0.0
2025-04-17,RSW,MDW,WN,1,0.6162144934371742
2025-04-21,DEN,ORF,UA,1,0.0
2025-04-01,RSW,ORD,UA,1,0.44177184466019404
2025-04-27,SNA,SFO,OO,0,0.579357201129885
2025-04-09,SAT,LAS,WN,0,0.0
2025-04-07,IAD,PWM,YX,0,0.759322609923766
2025-04-04,LGA,MKE,YX,0,0.0
2025-04-03,SAN,ABQ,WN,0,0.7531069004704487
2025-04-19,GNV,ATL,DL,0,0.273216970391189
2025-04-13,CVG,RSW,F9,0,0.602123858674077
2025-04-06,MRY,PHX,MQ,0,0.653073328464749
2025-04-22,MCI,DEN,WN,0,0.08479701083664884
2025-04-28,MIA,DCA,AA,0,0.14811958145405996
2025-04-04,SEA,LAX,AS,0,0.3594374986535296
2025-04-29,IAH,SGF,OO,1,0.8405023128528686
2025-04-22,DFW,PIA,MQ,0,0.6502165781003636
2025-04-09,LAX,RNO,OO,0,0.1343601725178413
2025-04-22,MCO,DCA,DL,0,0.3652798094762379
2025-04-19,ATL,BOS,DL,0,0.4334837476342294
2025-04-06,GNV,CLT,OH,0,0.4886994462158079
2025-04-22,GSO,CLT,OH,0,0.7531069004704487
2025-04-18,ORD,CMX,OO,0,0.864815941658019
2025-04-04,ORD,LAX,UA,0,0.665133567561641
2025-04-26,BOI,PHX,WN,0,0.34089944227087304
2025-04-04,PBI,EWR,B6,0,0.8740323152461704
2025-04-23,DEN,LIT,OO,0,0.5913069877488102
2025-04-07,SFO,JFK,B6,1,0.5108129973167318
2025-04-02,SAT,ORD,UA,1,0.0
2025-04-06,LGA,ORD,AA,0,0.665133567561641
2025-04-17,HNL,OGG,HA,0,0.24341854991143475
2025-04-06,BHM,LAS,WN,0,0.0
2025-04-14,DFW,LAX,AA,0,0.6669948524507653
2025-04-27,ATL,IAD,DL,0,0.25468971142082636
2025-04-24,ORD,DCA,AA,1,0.5862209055912642
2025-04-17,LGA,CVG,YX,0,0.653073328464749
2025-04-29,MCI,LAS,WN,0,0.534462530282099
2025-04-09,MSP,LGA,DL,0,0.5524093414484771
2025-04-19,LAX,SMF,OO,0,0.3770782187140679
2025-04-01,IAH,LGA,UA,0,0.4266936109658921
2025-04-06,BWI,LAX,UA,0,0.35040051594603716
2025-04-20,MDT,ORD,OO,0,0.602123858674077
2025-04-18,DEN,RSW,WN,1,0.39129681161679186
2025-04-25,JFK,SJU,DL,0,0.6968550401004634
2025-04-02,DFW,CMI,MQ,1,0.5926911519329137
2025-04-08,PHL,PBI,F9,0,0.6941912353636669
2025-04-30,PDX,LAS,WN,0,0.400969515156217
2025-04-19,LAX,KOA,UA,0,0.5210078072202786
2025-04-24,FNT,JAX,G4,0,0.15029892979829101
2025-04-22,PBI,LGA,DL,0,0.14811958145405996
2025-04-23,MDW,SEA,WN,0,0.0
2025-04-05,MIA,DCA,AA,1,0.6047975756260029
2025-04-29,BWI,IND,WN,0,0.1431884962493754
2025-04-12,ATL,PHL,DL,0,0.6873370927369724
2025-04-21,VPS,ATL,DL,0,0.273216970391189
2025-04-08,BWI,MCO,NK,0,0.6004113900927321
2025-04-21,IND,FLL,NK,0,0.7852810297655458
2025-04-18,DCA,OMA,YX,0,0.0
2025-04-22,BOS,LAS,B6,0,0.7275656272110574
2025-04-04,XNA,ORD,MQ,1,0.2546897114208264
2025-04-07,RSW,ATL,DL,1,0.24055244724437172
2025-04-26,BWI,FLL,WN,0,0.6493512023615656
2025-04-06,DAL,SAV,WN,1,0.0
2025-04-30,PDX,DEN,AS,0,0.5862209055912642
2025-04-27,PHX,SLC,WN,0,0.2608210922931163
2025-04-27,EWR,LAX,NK,0,0.5334023843534959
2025-04-21,DFW,SEA,AA,0,0.6114813135013393
2025-04-15,SAT,BWI,WN,0,0.34089944227087304
2025-04-18,PIT,SAV,G4,0,0.7878917598168413
2025-04-08,KOA,SEA,AS,0,0.14394514567713754
2025-04-22,DCA,DSM,OH,0,0.0
2025-04-26,ORD,SEA,AS,0,0.6493512023615656
2025-04-06,IAH,CLT,AA,0,0.14811958145405996
2025-04-12,IAH,LAX,UA,0,0.7610399893243173
2025-04-13,IAD,BNA,UA,0,0.691146972784447
2025-04-12,SLC,EUG,OO,0,0.400969515156217
2025-04-10,RDM,SAN,OO,1,0.691146972784447
2025-04-24,MIA,ORD,AA,0,0.7687912591351923
2025-04-07,SLC,LAS,DL,0,0.6398389163177297
2025-04-04,DEN,TUL,WN,1,0.37603714436829216
2025-04-24,LAS,SBA,WN,1,0.4419227276626807
2025-04-25,LAX,DAL,WN,0,0.45789399204389986
2025-04-06,DAL,HOU,WN,0,0.8549123574326005
2025-04-19,SEA,JFK,DL,0,0.8145118961656781
2025-04-29,HDN,DEN,OO,0,0.539863352178937
2025-04-28,AUS,MSP,DL,1,0.39129681161679186
2025-04-21,PVD,MCO,WN,0,0.5449108892611798
2025-04-14,CLT,SGF,MQ,0,0.8194957226474553
2025-04-02,ORD,LGA,DL,1,0.15163759605963847
2025-04-13,ICT,VPS,G4,0,0.5157259435566134
2025-04-12,BOS,FLL,DL,0,0.8145118961656781
2025-04-15,LAX,EWR,UA,1,0.5194527209835953
2025-04-11,DTW,DCA,OH,1,0.5959648921377293
2025-04-06,LAX,SFO,UA,0,0.579357201129885
2025-04-06,EWR,PBI,UA,0,0.6873370927369724
2025-04-28,SEA,AUS,DL,0,0.39129681161679186
2025-04-10,EWR,MIA,UA,0,0.653073328464749
2025-04-28,ORD,HPN,MQ,0,0.0
2025-04-12,BUR,LAS,NK,0,0.691146972784447
2025-04-21,DEN,ATL,DL,0,0.48183485838508533
2025-04-10,MSN,MSP,DL,0,0.44001912554361394
2025-04-12,PHX,OKC,OO,0,0.35028194222590003
