FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-01,MCI,DFW,AA,0,0.4520169127804258
2025-04-07,FLL,ATL,DL,1,0.4407807786364995
2025-04-17,BNA,DEN,UA,0,0.5283651139258088
2025-04-11,PHX,LAS,WN,1,0.7673445474217123
2025-04-18,CHS,JFK,B6,1,0.3649526660398587
2025-04-10,TPA,BOS,B6,0,0.2945974457127939
2025-04-05,PNS,DCA,OH,0,0.38090728805503904
2025-04-28,SAT,PHX,WN,0,0.23829745727790622
2025-04-30,MEM,DEN,UA,0,0.1905740708598869
2025-04-16,ATL,PNS,DL,0,0.20331209182196947
2025-04-19,PHL,SJU,AA,0,0.8574662986392346
2025-04-13,MCO,MSY,F9,1,0.4634355897969154
2025-04-30,SDF,BWI,WN,1,0.21566902595355544
2025-04-20,CHS,CLT,AA,0,0.19405950865835658
2025-04-29,DFW,AUS,AA,0,0.6816105238167802
2025-04-03,SEA,SMF,OO,0,0.6481366818031858
2025-04-16,BWI,PWM,WN,1,0.17570411645040337
2025-04-19,SJC,AUS,WN,0,0.18037837196440332
2025-04-13,PHL,PVD,AA,0,0.8231340858214121
2025-04-29,DEN,MKE,OO,0,0.5066061413325413
2025-04-19,ORD,EWR,AA,0,0.5629104468687868
2025-04-30,ATL,HSV,DL,0,0.13883444863364344
2025-04-23,ABQ,DEN,WN,0,0.19920384706588715
2025-04-30,DFW,LIT,MQ,1,0.4644307300498609
2025-04-10,HNL,SFO,HA,0,0.5858251739039682
2025-04-19,DEN,EWR,UA,0,0.6587095732504831
2025-04-19,MCO,IND,WN,1,0.26571562229993345
2025-04-30,MSP,DEN,DL,1,0.5613874571502393
2025-04-03,EWR,CLT,UA,0,0.2038538990052179
2025-04-05,RIC,ATL,DL,0,0.2504247164642133
2025-04-01,PDX,LAS,WN,0,0.1721298438106835
2025-04-25,RSW,CLT,AA,1,0.5044196190044601
2025-04-10,LAS,HOU,WN,1,0.5685460186240067
2025-04-30,BWI,MYR,WN,0,0.8612984863568031
2025-04-10,OKC,DCA,WN,0,0.8111194506186648
2025-04-07,SMF,SAN,WN,0,0.4974685421507251
2025-04-22,ORD,MSP,UA,0,0.3626463211374359
2025-04-14,ATL,LAX,DL,0,0.4597126368998291
2025-04-10,MCO,BOS,B6,0,0.5901991827433218
2025-04-25,SLC,LAS,DL,0,0.7248701676572531
2025-04-26,DAL,SAN,WN,0,0.43565582419418497
2025-04-20,PHX,MCI,WN,0,0.2778384097931364
2025-04-07,PHX,ABQ,OO,0,0.10841167750098307
2025-04-14,BOS,JFK,YX,0,0.4533859960451296
2025-04-02,SAV,CLT,OH,0,0.26579099558529573
2025-04-30,FLL,EWR,NK,1,0.6532905262221101
2025-04-10,PHX,DEN,WN,0,0.639053382111815
2025-04-16,MFE,DFW,AA,0,0.7024403000607512
2025-04-21,DEN,ANC,UA,1,0.5190099141044884
2025-04-14,JFK,TPA,B6,0,0.4774595460252628
2025-04-19,LIH,SJC,AS,1,0.3417447552484362
2025-04-10,MKE,LGA,YX,0,0.2177569838038535
2025-04-17,RSW,MDW,WN,1,0.5642363582505887
2025-04-21,DEN,ORF,UA,1,0.14391010043116476
2025-04-01,RSW,ORD,UA,1,0.49848024866144625
2025-04-27,SNA,SFO,OO,0,0.6949811663741883
2025-04-09,SAT,LAS,WN,0,0.12157354716589316
2025-04-07,IAD,PWM,YX,0,0.8552622616167983
2025-04-04,LGA,MKE,YX,0,0.1482585041988737
2025-04-03,SAN,ABQ,WN,0,0.6785908574976208
2025-04-19,GNV,ATL,DL,0,0.3408492077384753
2025-04-13,CVG,RSW,F9,0,0.5232914422635114
2025-04-06,MRY,PHX,MQ,0,0.5173462751050257
2025-04-22,MCI,DEN,WN,0,0.25559842406721067
2025-04-28,MIA,DCA,AA,0,0.47812235365504796
2025-04-04,SEA,LAX,AS,0,0.4046310654178144
2025-04-29,IAH,SGF,OO,1,0.8978623311855066
2025-04-22,DFW,PIA,MQ,0,0.4714155185420042
2025-04-09,LAX,RNO,OO,0,0.3016324076355492
2025-04-22,MCO,DCA,DL,0,0.4115003651088751
2025-04-19,ATL,BOS,DL,0,0.6649863794735151
2025-04-06,GNV,CLT,OH,0,0.42939735717600713
2025-04-22,GSO,CLT,OH,0,0.6926753031258112
2025-04-18,ORD,CMX,OO,0,0.7161538593923664
2025-04-04,ORD,LAX,UA,0,0.4808568860323177
2025-04-26,BOI,PHX,WN,0,0.27682537489710196
2025-04-04,PBI,EWR,B6,0,0.8662831430599385
2025-04-23,DEN,LIT,OO,0,0.6299552146123727
2025-04-07,SFO,JFK,B6,1,0.45569233426688355
2025-04-02,SAT,ORD,UA,1,0.17948423036105127
2025-04-06,LGA,ORD,AA,0,0.6066064525416924
2025-04-17,HNL,OGG,HA,0,0.27159763820798544
2025-04-06,BHM,LAS,WN,0,0.2328150479557222
2025-04-14,DFW,LAX,AA,0,0.6199197560236124
2025-04-27,ATL,IAD,DL,0,0.26238972236476016
2025-04-24,ORD,DCA,AA,1,0.4582756989731703
2025-04-17,LGA,CVG,YX,0,0.41091458435970185
2025-04-29,MCI,LAS,WN,0,0.5203554505723935
2025-04-09,MSP,LGA,DL,0,0.36006484725847965
2025-04-19,LAX,SMF,OO,0,0.19630602991175267
2025-04-01,IAH,LGA,UA,0,0.5643045945912673
2025-04-06,BWI,LAX,UA,0,0.33955546674201226
2025-04-20,MDT,ORD,OO,0,0.5942209832528996
2025-04-18,DEN,RSW,WN,1,0.30359032462265334
2025-04-25,JFK,SJU,DL,0,0.8866660451393508
2025-04-02,DFW,CMI,MQ,1,0.43833324431946546
2025-04-08,PHL,PBI,F9,0,0.7463586742512326
2025-04-30,PDX,LAS,WN,0,0.31093793345023096
2025-04-19,LAX,KOA,UA,0,0.33897410044265225
2025-04-24,FNT,JAX,G4,0,0.2074998331151211
2025-04-22,PBI,LGA,DL,0,0.3616913066520833
2025-04-23,MDW,SEA,WN,0,0.17843751011053563
2025-04-05,MIA,DCA,AA,1,0.6891803969639168
2025-04-29,BWI,IND,WN,0,0.2517399613697452
2025-04-12,ATL,PHL,DL,0,0.5829909394171336
2025-04-21,VPS,ATL,DL,0,0.1693598830686855
2025-04-08,BWI,MCO,NK,0,0.5076915496558767
2025-04-21,IND,FLL,NK,0,0.6928148768916772
2025-04-18,DCA,OMA,YX,0,0.07408640619755288
2025-04-22,BOS,LAS,B6,0,0.791854136011833
2025-04-04,XNA,ORD,MQ,1,0.3646351592452957
2025-04-07,RSW,ATL,DL,1,0.4686900256215215
2025-04-26,BWI,FLL,WN,0,0.6085172143714193
2025-04-06,DAL,SAV,WN,1,0.19753143977858556
2025-04-30,PDX,DEN,AS,0,0.33797723966412274
2025-04-27,PHX,SLC,WN,0,0.37979461916433027
2025-04-27,EWR,LAX,NK,0,0.5906232910636925
2025-04-21,DFW,SEA,AA,0,0.46961264684254905
2025-04-15,SAT,BWI,WN,0,0.2543975300715204
2025-04-18,PIT,SAV,G4,0,0.9043934962046657
2025-04-08,KOA,SEA,AS,0,0.3334864242270628
2025-04-22,DCA,DSM,OH,0,0.13037908076033144
2025-04-26,ORD,SEA,AS,0,0.6727200219996808
2025-04-06,IAH,CLT,AA,0,0.6206874934186813
2025-04-12,IAH,LAX,UA,0,0.6373769281855078
2025-04-13,IAD,BNA,UA,0,0.5875621868002325
2025-04-12,SLC,EUG,OO,0,0.234786279326017
2025-04-10,RDM,SAN,OO,1,0.6070911319073184
2025-04-24,MIA,ORD,AA,0,0.6844490947683746
2025-04-07,SLC,LAS,DL,0,0.5148963228341746
2025-04-04,DEN,TUL,WN,1,0.4022974309144366
2025-04-24,LAS,SBA,WN,1,0.36193142932576017
2025-04-25,LAX,DAL,WN,0,0.41158468481768146
2025-04-06,DAL,HOU,WN,0,0.654974042162946
2025-04-19,SEA,JFK,DL,0,0.7825628284503988
2025-04-29,HDN,DEN,OO,0,0.1916595109727337
2025-04-28,AUS,MSP,DL,1,0.21061094963506452
2025-04-21,PVD,MCO,WN,0,0.3889837495659759
2025-04-14,CLT,SGF,MQ,0,0.6573886236635532
2025-04-02,ORD,LGA,DL,1,0.45069146572916874
2025-04-13,ICT,VPS,G4,0,0.3753389985912091
2025-04-12,BOS,FLL,DL,0,0.8142513341151226
2025-04-15,LAX,EWR,UA,1,0.3309645473747493
2025-04-11,DTW,DCA,OH,1,0.5293476668471502
2025-04-06,LAX,SFO,UA,0,0.7496553207533896
2025-04-06,EWR,PBI,UA,0,0.6149968246971348
2025-04-28,SEA,AUS,DL,0,0.21417998764677307
2025-04-10,EWR,MIA,UA,0,0.5028047860704942
2025-04-28,ORD,HPN,MQ,0,0.20984173851298657
2025-04-12,BUR,LAS,NK,0,0.5892755531813311
2025-04-21,DEN,ATL,DL,0,0.3197231837544126
2025-04-10,MSN,MSP,DL,0,0.4935077548495628
2025-04-12,PHX,OKC,OO,0,0.3202388572871675
2025-04-10,AUS,BNA,OO,1,0.46958788363487053
2025-04-16,KOA,HNL,WN,0,0.22594337503777956
2025-04-10,MIA,JAX,MQ,0,0.2980879425437554
2025-04-16,PHL,RSW,AA,0,0.6273582461788537
2025-04-16,SEA,MSP,DL,0,0.18686406374388098
2025-04-23,DEN,TUL,OO,0,0.4955117218026371
2025-04-28,BOI,LAS,WN,0,0.5134438858348226
2025-04-16,BWI,DFW,AA,0,0.5269727360246761
2025-04-28,DCA,MCO,AA,0,0.38515871663796425
2025-04-01,LAX,OMA,OO,0,0.1681848656072438
2025-04-10,ABQ,DEN,UA,0,0.21416727325096602
2025-04-09,LIT,LGA,YX,0,0.2594846098943194
2025-04-06,DEN,RDU,UA,0,0.740983092765884
2025-04-13,MCO,SAT,F9,0,0.2937253113810729
2025-04-17,TTN,PBI,F9,0,0.8238861364410429
2025-04-17,SJU,FLL,NK,1,0.760424930824603
2025-04-30,SEA,DFW,AS,1,0.7553304506667813
2025-04-13,AUS,IAH,UA,0,0.5426996471399723
2025-04-29,DCA,RDU,AA,0,0.5372704333866147
2025-04-03,SLC,SEA,DL,0,0.1713977906824433
2025-04-10,DTW,APN,OO,0,0.6072675102172187
2025-04-18,SLC,SEA,OO,0,0.2181968441052576
2025-04-13,JFK,LAX,DL,1,0.38928710640805525
2025-04-14,FAR,DEN,OO,1,0.5205661698820112
2025-04-26,SEA,MCO,AS,0,0.7193973251983643
2025-04-01,PHL,BOS,YX,0,0.42603244293828835
2025-04-28,LAX,ORD,UA,0,0.4235988548405955
2025-04-09,CLE,LAS,WN,0,0.8970364704121327
2025-04-09,CLT,CAE,OH,0,0.5224379199525079
2025-04-09,PHX,PHL,AA,0,0.24638165700633433
2025-04-26,IAD,ORD,UA,0,0.5723892874256215
2025-04-06,TPA,TTN,F9,1,0.4332678740125596
2025-04-13,OAK,OGG,HA,0,0.40619419930396217
2025-04-01,DFW,LAS,AA,1,0.708770042284766
2025-04-05,BOS,JFK,YX,0,0.385034153600277
2025-04-24,CLT,FLL,NK,0,0.8495007503251428
2025-04-30,DFW,LBB,MQ,1,0.30250902191887796
2025-04-26,DEN,XNA,UA,0,0.440391242764548
2025-04-11,IAH,DTW,DL,1,0.4474241774829868
2025-04-20,ILM,CLT,MQ,0,0.4321812539252459
2025-04-18,HOU,DAL,WN,0,0.4222326594919965
2025-04-04,IAH,LAS,UA,1,0.7576128693301284
2025-04-09,SJC,LAX,OO,0,0.40833396735161626
2025-04-03,ROC,ATL,DL,0,0.2877531981438678
2025-04-30,CMH,RSW,WN,0,0.7812387533869762
2025-04-06,MSY,IND,NK,1,0.36365820382481995
2025-04-22,MIA,DCA,AA,0,0.7095261054367249
2025-04-15,ABQ,AUS,WN,0,0.3326494104250715
2025-04-04,BTV,DCA,OH,0,0.7139205164245682
2025-04-24,CLT,DTW,DL,0,0.3389709205462201
2025-04-27,ECP,ATL,DL,0,0.3724167365125766
2025-04-21,DFW,MSO,MQ,0,0.1101445170029329
2025-04-24,TUS,DEN,UA,1,0.22425740733808325
2025-04-27,ATL,DEN,F9,1,0.7230302201856991
2025-04-05,ORD,SRQ,UA,0,0.21712137560576994
2025-04-02,DEN,BOS,UA,0,0.4330485149873609
