FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-01,MCI,DFW,AA,0,0.13666666666666666
2025-04-07,FLL,ATL,DL,1,0.06898063745121223
2025-04-17,BNA,DEN,UA,0,0.14333333333333334
2025-04-11,PHX,LAS,WN,1,0.59
2025-04-18,CHS,JFK,B6,1,0.13333333333333333
2025-04-10,TPA,BOS,B6,0,0.03333333333333333
2025-04-05,PNS,DCA,OH,0,0.27700923542659117
2025-04-28,SAT,PHX,WN,0,0.04200707952891359
2025-04-30,MEM,DEN,UA,0,0.06333333333333334
2025-04-16,ATL,PNS,DL,0,0.03
2025-04-19,PHL,SJU,AA,0,0.37523717595876394
2025-04-13,MCO,MSY,F9,1,0.2709877169801258
2025-04-30,SDF,BWI,WN,1,0.03666666666666667
2025-04-20,CHS,CLT,AA,0,0.04
2025-04-29,DFW,AUS,AA,0,0.47584438912760724
2025-04-03,SEA,SMF,OO,0,0.36333333333333334
2025-04-16,BWI,PWM,WN,1,0.08333333333333333
2025-04-19,SJC,AUS,WN,0,0.02666666666666667
2025-04-13,PHL,PVD,AA,0,0.33666666666666667
2025-04-29,DEN,MKE,OO,0,0.16333333333333333
2025-04-19,ORD,EWR,AA,0,0.12977200345776746
2025-04-30,ATL,HSV,DL,0,0.03290653295220453
2025-04-23,ABQ,DEN,WN,0,0.02
2025-04-30,DFW,LIT,MQ,1,0.21333333333333335
2025-04-10,HNL,SFO,HA,0,0.2054633048176497
2025-04-19,DEN,EWR,UA,0,0.06564730411787889
2025-04-19,MCO,IND,WN,1,0.07
2025-04-30,MSP,DEN,DL,1,0.25906763353607576
2025-04-03,EWR,CLT,UA,0,0.04666666666666667
2025-04-05,RIC,ATL,DL,0,0.03666666666666667
2025-04-01,PDX,LAS,WN,0,0.03
2025-04-25,RSW,CLT,AA,1,0.14966931446058418
2025-04-10,LAS,HOU,WN,1,0.19666666666666666
2025-04-30,BWI,MYR,WN,0,0.29789246599125174
2025-04-10,OKC,DCA,WN,0,0.44
2025-04-07,SMF,SAN,WN,0,0.06
2025-04-22,ORD,MSP,UA,0,0.03666666666666667
2025-04-14,ATL,LAX,DL,0,0.32606498574215814
2025-04-10,MCO,BOS,B6,0,0.47179928594490056
2025-04-25,SLC,LAS,DL,0,0.5618871704034167
2025-04-26,DAL,SAN,WN,0,0.1948176266511379
2025-04-20,PHX,MCI,WN,0,0.04273165240882486
2025-04-07,PHX,ABQ,OO,0,0.03333333333333333
2025-04-14,BOS,JFK,YX,0,0.22333333333333333
2025-04-02,SAV,CLT,OH,0,0.06
2025-04-30,FLL,EWR,NK,1,0.13231397078454557
2025-04-10,PHX,DEN,WN,0,0.7866666666666666
2025-04-16,MFE,DFW,AA,0,0.38333333333333336
2025-04-21,DEN,ANC,UA,1,0.24633598112725083
2025-04-14,JFK,TPA,B6,0,0.3856473041178789
2025-04-19,LIH,SJC,AS,1,0.3
2025-04-10,MKE,LGA,YX,0,0.02
2025-04-17,RSW,MDW,WN,1,0.27666666666666667
2025-04-21,DEN,ORF,UA,1,0.09333333333333334
2025-04-01,RSW,ORD,UA,1,0.058971518694362714
2025-04-27,SNA,SFO,OO,0,0.30666666666666664
2025-04-09,SAT,LAS,WN,0,0.006666666666666667
2025-04-07,IAD,PWM,YX,0,0.31231397078454554
2025-04-04,LGA,MKE,YX,0,0.023333333333333334
2025-04-03,SAN,ABQ,WN,0,0.13666666666666666
2025-04-19,GNV,ATL,DL,0,0.013333333333333334
2025-04-13,CVG,RSW,F9,0,0.51
2025-04-06,MRY,PHX,MQ,0,0.20444394226886192
2025-04-22,MCI,DEN,WN,0,0.012731652408824854
2025-04-28,MIA,DCA,AA,0,0.11
2025-04-04,SEA,LAX,AS,0,0.2056473041178789
2025-04-29,IAH,SGF,OO,1,0.6133333333333333
2025-04-22,DFW,PIA,MQ,0,0.30390203095214363
2025-04-09,LAX,RNO,OO,0,0.05
2025-04-22,MCO,DCA,DL,0,0.006666666666666667
2025-04-19,ATL,BOS,DL,0,0.6566666666666666
2025-04-06,GNV,CLT,OH,0,0.26300264779391747
2025-04-22,GSO,CLT,OH,0,0.21666666666666667
2025-04-18,ORD,CMX,OO,0,0.3389806374512122
2025-04-04,ORD,LAX,UA,0,0.08
2025-04-26,BOI,PHX,WN,0,0.07
2025-04-04,PBI,EWR,B6,0,0.5112448541651295
2025-04-23,DEN,LIT,OO,0,0.19966931446058417
2025-04-07,SFO,JFK,B6,1,0.28
2025-04-02,SAT,ORD,UA,1,0.023333333333333334
2025-04-06,LGA,ORD,AA,0,0.1954633048176497
2025-04-17,HNL,OGG,HA,0,0.04
2025-04-06,BHM,LAS,WN,0,0.03
2025-04-14,DFW,LAX,AA,0,0.32813526707215135
2025-04-27,ATL,IAD,DL,0,0.046064985742158185
2025-04-24,ORD,DCA,AA,1,0.15273165240882486
2025-04-17,LGA,CVG,YX,0,0.07333333333333333
