Origin,Dest,n,ontime,med_arr,mean_dist,cluster
ANC,SEA,92,0.8152173913043479,-9.5,1448.0,1
ATL,AUS,71,0.8028169014084507,-5.0,813.0,2
ATL,BNA,55,0.8363636363636364,-3.0,214.0,2
ATL,BOS,59,0.7457627118644068,-4.0,946.0,0
ATL,BWI,85,0.7529411764705882,-1.0,577.0,0
ATL,CLE,53,0.8490566037735849,-8.0,554.0,2
ATL,CLT,69,0.8260869565217391,-6.0,226.0,2
ATL,DCA,81,0.7901234567901234,-6.0,547.0,2
ATL,DEN,73,0.821917808219178,-4.0,1199.0,0
ATL,DFW,91,0.8131868131868132,-6.0,731.0,2
ATL,DTW,58,0.7413793103448276,-5.0,594.0,0
ATL,EWR,73,0.7534246575342466,-3.0,746.0,0
ATL,FLL,108,0.7685185185185185,-3.0,581.0,0
ATL,IAH,51,0.9215686274509804,-7.0,689.0,2
ATL,JAX,62,0.8225806451612903,-3.0,270.0,2
ATL,JFK,50,0.72,-3.0,760.0,0
ATL,LAS,62,0.8225806451612903,-6.0,1747.0,1
ATL,LAX,74,0.8108108108108107,-5.0,1947.0,1
ATL,LGA,118,0.8135593220338984,-8.0,762.0,2
ATL,MCO,125,0.784,-2.0,404.0,0
ATL,MDW,52,0.8269230769230769,-6.0,591.0,2
ATL,MEM,60,0.8833333333333333,-8.0,332.0,2
ATL,MIA,103,0.7184466019417476,-2.0,594.0,0
ATL,MSY,62,0.7903225806451613,-3.5,425.0,0
ATL,ORD,75,0.7866666666666666,-4.0,606.0,0
ATL,PBI,56,0.8035714285714286,-2.5,545.0,0
ATL,PHL,77,0.7532467532467533,-1.0,666.0,0
ATL,PHX,51,0.8235294117647058,-2.0,1587.0,0
ATL,RDU,67,0.8507462686567164,-4.0,356.0,2
ATL,RSW,53,0.6981132075471699,-1.0,515.0,0
ATL,TPA,90,0.7666666666666666,-2.5,406.0,0
AUS,ATL,60,0.9,-11.0,813.0,2
AUS,BNA,61,0.9016393442622951,-6.0,756.0,2
AUS,DEN,60,0.8666666666666667,-8.0,775.0,2
AUS,DFW,70,0.7285714285714286,-5.0,190.0,0
AUS,LAX,53,0.7358490566037736,-5.0,1242.0,0
BNA,CLT,53,0.8113207547169812,-4.0,328.0,2
BNA,DCA,64,0.75,-4.5,562.0,0
BNA,DEN,52,0.75,-3.5,1014.0,0
BNA,LGA,62,0.8870967741935484,-12.0,764.0,2
BNA,ORD,73,0.8356164383561644,-5.0,409.0,2
BOI,SEA,68,0.8235294117647058,-8.0,399.0,2
BOS,ATL,75,0.8,-7.0,946.0,2
BOS,BWI,55,0.8727272727272728,-11.0,369.0,2
BOS,CLT,71,0.7887323943661972,-12.0,728.0,2
BOS,DCA,141,0.8368794326241135,-8.0,399.0,2
BOS,DFW,58,0.7758620689655172,-9.0,1562.0,1
BOS,EWR,60,0.7,-5.0,200.0,0
BOS,FLL,50,0.64,1.0,1237.0,0
BOS,JFK,70,0.8428571428571429,-5.0,187.0,2
BOS,LAX,68,0.7941176470588236,-12.5,2611.0,1
BOS,LGA,105,0.8380952380952381,-13.0,184.0,2
BOS,MCO,57,0.736842105263158,-10.0,1121.0,1
BOS,MIA,52,0.75,-9.0,1258.0,1
BOS,ORD,78,0.8461538461538461,-10.5,867.0,2
BOS,PHL,86,0.8023255813953488,-8.0,280.0,2
BOS,SFO,57,0.8245614035087719,-3.0,2704.0,1
BUR,LAS,77,0.8311688311688312,-8.0,223.0,2
BUR,PHX,61,0.8852459016393442,-9.0,369.0,2
BWI,ATL,70,0.8571428571428572,-9.5,577.0,2
BWI,BOS,67,0.8805970149253731,-8.0,369.0,2
BWI,MCO,72,0.8194444444444444,-6.0,787.0,2
CHS,ATL,51,0.9019607843137255,-6.0,259.0,2
CLT,ATL,74,0.7837837837837838,-8.0,226.0,2
CLT,BNA,53,0.8679245283018868,-5.0,328.0,2
CLT,BOS,69,0.7246376811594203,-2.0,728.0,0
CLT,DCA,55,0.6727272727272727,1.0,331.0,0
CLT,DFW,60,0.85,-6.0,936.0,2
CLT,DTW,74,0.8243243243243243,-8.5,500.0,2
CLT,EWR,54,0.8148148148148149,-7.5,529.0,2
CLT,LGA,78,0.7564102564102564,0.0,544.0,0
CLT,MCO,91,0.7692307692307692,0.0,468.0,0
CLT,ORD,65,0.7846153846153846,-7.0,599.0,2
CLT,PHL,56,0.625,8.5,449.0,0
CLT,TPA,52,0.75,-3.0,507.0,0
CMH,LGA,52,0.9038461538461539,-11.5,479.0,2
CMH,ORD,57,0.7192982456140351,-9.0,296.0,0
COS,DEN,71,0.8450704225352113,-10.0,73.0,2
DAL,ATL,54,0.8148148148148149,-8.0,721.0,2
DAL,HOU,56,0.7678571428571428,-4.5,239.0,0
DCA,ATL,102,0.8333333333333334,-12.0,547.0,2
DCA,BNA,55,0.7636363636363637,-5.0,562.0,0
DCA,BOS,147,0.8571428571428572,-12.0,399.0,2
DCA,LGA,63,0.746031746031746,-3.0,214.0,0
DCA,MCO,72,0.875,-12.0,759.0,2
DCA,MIA,57,0.8421052631578947,-11.0,919.0,2
DCA,ORD,96,0.8229166666666666,-9.0,612.0,2
DEN,ATL,96,0.78125,-3.0,1199.0,0
DEN,AUS,60,0.7833333333333333,-5.0,775.0,0
DEN,BNA,58,0.9137931034482758,-8.0,1014.0,2
DEN,BOI,52,0.75,-4.0,649.0,0
DEN,BOS,63,0.8095238095238095,-5.0,1754.0,1
DEN,COS,83,0.7228915662650602,-7.0,73.0,0
DEN,DFW,88,0.7840909090909091,-12.0,641.0,2
DEN,DTW,54,0.6666666666666667,-1.5,1123.0,0
DEN,IAH,51,0.8823529411764706,-9.0,862.0,2
DEN,LAS,106,0.6981132075471699,-3.0,628.0,0
DEN,LAX,108,0.8333333333333334,-8.5,862.0,2
DEN,LGA,75,0.7466666666666666,-7.0,1620.0,1
DEN,MCI,65,0.7384615384615385,-7.0,533.0,0
DEN,MCO,77,0.7792207792207793,-4.0,1546.0,0
DEN,MSP,72,0.7916666666666666,-7.5,680.0,2
DEN,OKC,59,0.6949152542372881,-3.0,495.0,0
DEN,ORD,86,0.8255813953488372,-3.5,888.0,2
DEN,PDX,56,0.8214285714285714,-3.0,991.0,0
DEN,PHX,145,0.806896551724138,-6.0,602.0,2
DEN,SAN,65,0.7692307692307692,-6.0,853.0,0
DEN,SEA,85,0.8117647058823529,-4.0,1024.0,0
DEN,SFO,79,0.620253164556962,4.0,967.0,0
DEN,SLC,126,0.8095238095238095,-7.0,391.0,2
DEN,SMF,54,0.8703703703703703,-2.5,909.0,2
DFW,ATL,109,0.7339449541284404,-4.0,731.0,0
DFW,AUS,81,0.7283950617283951,-4.0,190.0,0
DFW,CLT,69,0.8405797101449275,-5.0,936.0,2
DFW,DEN,96,0.75,-6.0,641.0,0
DFW,DTW,58,0.7758620689655172,-6.0,986.0,0
DFW,EWR,56,0.625,-6.0,1372.0,0
DFW,IAH,65,0.7538461538461538,-5.0,224.0,0
DFW,LAS,70,0.7,1.0,1055.0,0
DFW,LAX,101,0.7227722772277227,-3.0,1235.0,0
DFW,LGA,101,0.8217821782178218,-9.0,1389.0,1
DFW,LIT,51,0.8431372549019608,-4.0,304.0,2
DFW,MCO,75,0.72,-1.0,985.0,0
DFW,MIA,70,0.6571428571428571,2.0,1121.0,0
DFW,ORD,77,0.7922077922077921,-7.0,802.0,2
DFW,PHX,83,0.8072289156626506,-7.0,868.0,2
DFW,SAT,62,0.7096774193548387,-1.0,247.0,0
DFW,SEA,51,0.7058823529411764,-4.0,1660.0,0
DFW,SFO,65,0.6461538461538461,4.0,1464.0,0
DFW,SGF,53,0.6981132075471699,0.0,364.0,0
DFW,SLC,53,0.679245283018868,-3.0,989.0,0
DTW,ATL,55,0.8,-9.0,594.0,2
DTW,CLT,59,0.8813559322033898,-13.0,500.0,2
DTW,DFW,59,0.8305084745762712,-7.0,986.0,2
DTW,LGA,50,0.9,-10.0,502.0,2
DTW,MCO,77,0.8571428571428572,-13.0,957.0,2
DTW,ORD,70,0.7428571428571429,-4.5,235.0,0
EWR,ATL,80,0.8125,-8.5,746.0,2
EWR,BOS,52,0.75,-9.5,200.0,2
EWR,CLT,50,0.94,-12.0,529.0,2
EWR,FLL,84,0.6904761904761905,-5.5,1065.0,0
EWR,IAH,53,0.7924528301886793,-7.0,1400.0,1
EWR,LAX,66,0.7272727272727273,-11.0,2454.0,1
EWR,MCO,97,0.8041237113402062,-12.0,937.0,2
EWR,MIA,70,0.8142857142857143,-11.0,1085.0,2
EWR,ORD,81,0.7037037037037037,-5.0,719.0,0
EWR,PBI,59,0.7627118644067796,-6.0,1023.0,0
EWR,SFO,53,0.6981132075471699,-7.0,2565.0,1
FLL,ATL,107,0.7850467289719626,-6.0,581.0,2
FLL,BOS,53,0.679245283018868,-4.0,1237.0,0
FLL,CLT,50,0.72,-5.5,632.0,0
FLL,EWR,88,0.8181818181818181,-8.5,1065.0,2
FLL,JFK,78,0.8461538461538461,-9.0,1069.0,2
FLL,LGA,65,0.8,-6.0,1076.0,2
GEG,SEA,76,0.8552631578947368,-9.0,224.0,2
HNL,ITO,101,0.8811881188118812,-1.0,216.0,2
HNL,KOA,135,0.8666666666666667,-3.0,163.0,2
HNL,LAX,69,0.7971014492753623,-7.0,2556.0,1
HNL,LIH,122,0.8934426229508197,-3.0,102.0,2
HNL,OGG,156,0.9230769230769231,-2.0,100.0,2
HOU,DAL,64,0.84375,-9.0,239.0,2
IAD,SFO,51,0.9215686274509804,-14.0,2419.0,1
IAH,ATL,57,0.7719298245614035,-7.0,689.0,2
IAH,DEN,81,0.8271604938271605,-8.0,862.0,2
IAH,DFW,73,0.7945205479452055,-7.0,224.0,2
IAH,LAS,66,0.6818181818181819,-2.0,1222.0,0
IAH,LAX,77,0.8051948051948052,-8.0,1379.0,1
IAH,LGA,62,0.7903225806451613,-12.0,1416.0,1
IAH,MCO,64,0.796875,-8.0,854.0,2
IAH,ORD,78,0.8333333333333334,-8.5,925.0,2
IND,ATL,54,0.8703703703703703,-9.0,432.0,2
IND,ORD,53,0.9056603773584906,-9.0,177.0,2
ITO,HNL,108,0.9074074074074074,-5.0,216.0,2
JAX,ATL,67,0.8955223880597015,-9.0,270.0,2
JFK,BOS,87,0.8160919540229885,-6.0,187.0,2
JFK,FLL,66,0.803030303030303,-10.0,1069.0,2
JFK,LAS,64,0.84375,-17.5,2248.0,1
JFK,LAX,135,0.8888888888888888,-17.0,2475.0,1
JFK,MCO,79,0.7468354430379747,-8.0,944.0,0
JFK,MIA,88,0.75,-6.5,1089.0,0
JFK,RDU,50,0.8200000000000001,-9.5,427.0,2
JFK,SFO,97,0.7938144329896908,-14.0,2586.0,1
JFK,SJU,51,0.6470588235294117,6.0,1598.0,0
KOA,HNL,119,0.8907563025210083,-3.0,163.0,2
LAS,ATL,72,0.8888888888888888,-11.0,1747.0,1
LAS,BUR,65,0.7692307692307692,-8.0,223.0,2
LAS,DEN,126,0.8095238095238095,-8.0,628.0,2
LAS,DFW,83,0.8192771084337349,-6.0,1055.0,2
LAS,DTW,52,0.8076923076923077,-8.0,1749.0,1
LAS,IAH,50,0.86,-11.0,1222.0,1
LAS,JFK,61,0.8688524590163934,-14.0,2248.0,1
LAS,LAX,152,0.7763157894736842,-5.0,236.0,0
LAS,MDW,52,0.8269230769230769,-5.0,1521.0,1
LAS,OAK,63,0.746031746031746,-4.0,407.0,0
LAS,ORD,82,0.8170731707317074,-11.5,1514.0,1
LAS,PDX,53,0.8867924528301887,-6.0,763.0,2
LAS,PHX,100,0.85,-9.5,255.0,2
LAS,RNO,75,0.92,-10.0,345.0,2
LAS,SAN,108,0.712962962962963,0.0,258.0,0
LAS,SEA,91,0.8021978021978022,-4.0,867.0,0
LAS,SFO,99,0.696969696969697,-3.0,414.0,0
LAS,SJC,54,0.8518518518518519,-7.0,386.0,2
LAS,SLC,54,0.8148148148148149,-6.0,368.0,2
LAS,SMF,84,0.8214285714285714,-4.5,397.0,2
LAS,SNA,53,0.8113207547169812,-10.0,226.0,2
LAX,ATL,76,0.7763157894736842,-5.0,1947.0,1
LAX,AUS,64,0.828125,-7.5,1242.0,1
LAX,BOS,71,0.8732394366197183,-9.0,2611.0,1
LAX,DEN,112,0.8660714285714286,-11.0,862.0,2
LAX,DFW,101,0.8613861386138614,-9.0,1235.0,2
LAX,EWR,80,0.8625,-11.0,2454.0,1
LAX,HNL,70,0.9,-13.0,2556.0,1
LAX,IAH,74,0.8513513513513513,-9.0,1379.0,1
LAX,JFK,139,0.8705035971223022,-13.0,2475.0,1
LAX,LAS,136,0.8014705882352942,-3.0,236.0,0
LAX,ORD,103,0.7669902912621359,-9.0,1744.0,1
LAX,PDX,63,0.9365079365079365,-15.0,834.0,2
LAX,PHX,101,0.8811881188118812,-10.0,370.0,2
LAX,SEA,109,0.8990825688073394,-12.0,954.0,2
LAX,SFO,167,0.7125748502994012,-1.0,337.0,0
LAX,SJC,70,0.8142857142857143,-7.0,308.0,2
LAX,SLC,66,0.9090909090909091,-10.0,590.0,2
LAX,SMF,66,0.9242424242424242,-9.0,373.0,2
LGA,ATL,123,0.8130081300813008,-13.0,762.0,2
LGA,BNA,57,0.8245614035087719,-7.0,764.0,2
LGA,BOS,106,0.8207547169811321,-10.0,184.0,2
