y_true,y_prob
0,0.18878421739502785
1,0.1425
0,0.2
1,0.3475
1,0.1375
0,0.075
0,0.2493791426624543
0,0.0525
0,0.055
0,0.015
0,0.4275
1,0.2515053096466852
1,0.04
0,0.05725198584543812
0,0.4629176718034719
0,0.4
1,0.05
0,0.0275
0,0.3325
0,0.2
0,0.1375
0,0.0225
0,0.0425
1,0.2425
0,0.1575
0,0.245
1,0.0775
1,0.2675
0,0.0175
0,0.0125
0,0.045
1,0.2225
1,0.1875
0,0.415
0,0.415
0,0.1025
0,0.07
0,0.2275
0,0.425
0,0.3995487393066186
0,0.27923547808840915
0,0.07
0,0.0425
0,0.25954873930661865
0,0.1125
1,0.205
0,0.4675
0,0.405
1,0.37
0,0.2675
1,0.375
0,0.035
1,0.425
1,0.115
1,0.06
0,0.3525
0,0.0
0,0.3275
0,0.025
0,0.22204873930661861
0,0.0225
0,0.315
0,0.1775
0,0.0075
0,0.115
0,0.2475
1,0.4925
0,0.2215558987239029
0,0.05
0,0.0375
0,0.64
0,0.1025
0,0.20531646385615493
0,0.3
0,0.115
0,0.07
0,0.5125
0,0.1973290025933256
1,0.2821798997141534
1,0.0625
0,0.21048059296656785
0,0.0175
0,0.04
0,0.32672863902077204
0,0.0275
1,0.2275
0,0.0875
0,0.14673547808840917
0,0.185
0,0.045
0,0.2225
0,0.14173547808840917
0,0.125
1,0.075
0,0.3481027882599224
1,0.245
0,0.2975
0,0.1025
0,0.125
0,0.1025
0,0.09
0,0.0625
1,0.2425
0,0.0425
0,0.275
0,0.065
0,0.2975
0,0.1975
0,0.045
0,0.33
1,0.13
1,0.165
0,0.33423547808840914
1,0.08
0,0.15
0,0.15454873930661864
0,0.27
0,0.20486952078424225
0,0.0675
0,0.3975
0,0.0675
0,0.0375
0,0.2225
0,0.215
0,0.3042354780884092
0,0.19
0,0.0225
1,0.3675
0,0.44
0,0.25454873930661864
1,0.18405271099749487
1,0.3925
0,0.125
0,0.36
0,0.2675
0,0.055
1,0.105
0,0.1225
0,0.2875
1,0.115
0,0.295
0,0.3675
1,0.0975
1,0.2168791426624543
0,0.29423547808840916
0,0.3125
0,0.055
0,0.185
0,0.06
0,0.1675
0,0.1
0,0.145
0,0.125
1,0.235
0,0.06
0,0.105
0,0.335
0,0.025
0,0.09
0,0.13680072515205677
0,0.2925
0,0.17
0,0.0175
0,0.0325
0,0.0375
0,0.3625
0,0.105
0,0.42
1,0.2775
1,0.2625
0,0.2575
0,0.2825
0,0.05704873930661864
0,0.2275
0,0.04954873930661864
